"itemid","accountid","price","merchantid","datepurchased"
"RGR3Q","IDZE3","1058.54","426K8","2022-03-25"
"OO5QT","HPTBM","1055.38","P0JA5","2022-05-30"
"H9DQU","BRX62","1046.77","K3VTH","2022-04-08"
"T2I4S","0ZK3C","1041.41","C1NTG","2022-10-27"
"FCEQT","PO4Q4","1011.58","FXVJ8","2022-07-11"
"QTEEF","BRX62","1007.35","6LV2R","2022-04-08"
"TCM7S","8NP1J","1005.84","A0B31","2022-03-12"
"34FRS","IDZE3","1003.6","G7ZYX","2022-03-25"
"1ZQ4B","IDZE3","1001.32","5JJX3","2022-03-25"
"F92IG","H6C82","986.31","T21O4","2022-10-26"
"MF3MA","F28UM","982.93","ZXBS8","2022-02-24"
"DY2YC","HJYAF","975.68","LV4UC","2022-10-19"
"GY0E9","IDZE3","967.67","CAFPE","2022-03-25"
"Y9WG6","OCSC1","949.6","5MYGN","2022-06-13"
"2XC7O","T9ZSG","941.99","FUR3X","2022-09-04"
"P4ZEQ","OW0EP","930.31","R5OOD","2022-03-22"
"XNFUA","29JBC","920.89","BX2PI","2022-10-19"
"0GJJA","OW0EP","916.35","KV5S9","2022-03-22"
"4TYA8","I1JY3","910.36","VRWGT","2022-09-28"
"7DY0A","PO4Q4","900.26","IJI6N","2022-07-11"
"SGPTE","29JBC","896.85","CJZRT","2022-03-12"
"N8G08","PO4Q4","891.13","0V5C9","2022-07-11"
"4UG2X","F95B8","890.77","NKNLM","2022-04-15"
"BZEEI","PO4Q4","889.58","ISPDE","2022-07-11"
"F85NS","IDZE3","869.5","7ERSM","2022-03-25"
"O5TRO","F95B8","858.35","MRY5A","2022-04-15"
"3C0M7","29JBC","851.68","51WHM","2022-10-19"
"IPKWV","I1JY3","847.43","7VWUB","2022-09-28"
"68EAC","VM6YE","841.99","7CIPO","2022-09-15"
"J7SCA","OW0EP","808.29","87CKX","2022-03-22"
"3J8RD","HZLY8","805.5","R8LB9","2022-05-01"
"NZW1Q","8NP1J","802.34","VWQZC","2022-03-12"
"S6HXW","OW0EP","801.6","NUPCW","2022-03-22"
"H84CU","5C0M1","800.6","CA969","2022-09-26"
"VI9XK","CX5HZ","800.21","PVB4C","2022-09-21"
"60OAD","VM6YE","800.2","DBPO3","2022-09-15"
"14DK7","VM6YE","770.14","KYTZ7","2022-09-15"
"OSKPM","I1JY3","768.31","549RZ","2022-09-28"
"6CYXV","IDZE3","754.1","1QXIF","2022-10-12"
"FN7WM","HLQ7U","734.37","JWXSS","2022-06-15"
"IVKBC","HJYAF","729.97","Z5WLW","2022-10-19"
"FLXDL","3BADC","724.2","3QPJE","2022-10-19"
"6JFVP","HLQ7U","722.72","PVB4C","2022-06-15"
"V4OYV","8NP1J","722.4","T40C2","2022-03-12"
"MS263","HLQ7U","700.1","L8LC6","2022-06-15"
"8WAWB","X4E1M","690.99","PVB4C","2022-10-19"
"V08TN","OCSC1","685.61","Y1GW1","2022-05-01"
"YLO9G","T9ZSG","683.54","X342E","2022-09-04"
"EXZJ0","8NP1J","681.99","K2VIU","2022-03-12"
"7L80Q","T9ZSG","678.47","WUSF0","2022-09-04"
"YNQYO","785CE","675.38","BF3QQ","2022-07-03"
"OZ551","HJYAF","653.43","TGD2Z","2022-10-19"
"II4C7","5C0M1","652.13","RSBL9","2022-09-26"
"UIR9A","VM6YE","646.93","T40C2","2022-09-15"
"YDNCU","HLQ7U","645.3","C9XKL","2022-06-15"
"OAOYI","HJYAF","639.63","T21O4","2022-10-19"
"861DH","HLQ7U","638.36","UVBIT","2022-06-15"
"DI9MA","F95B8","608.3","F1I7H","2022-04-15"
"DT894","29JBC","596.78","S3AB0","2022-03-12"
"VQ2BV","HPTBM","586.83","RLY94","2022-05-30"
"OL3U2","IDZE3","585.88","1E2BT","2022-03-25"
"0DTYD","OW0EP","563.28","0YU61","2022-03-22"
"IRFRO","IDZE3","554.99","449OC","2022-03-25"
"3TBV8","HJYAF","553.57","EGA3T","2022-10-04"
"E1ZRQ","5C0M1","552.48","FWVAJ","2022-09-26"
"MMS71","IDZE3","549.9","F1I7H","2022-03-25"
"4TGBC","IHYZO","534.86","6K1RV","2022-10-13"
"TFNKP","X4E1M","532.53","3DEPB","2022-03-12"
"8OTA0","T9ZSG","492.65","JCA8Q","2022-09-04"
"XVQ6O","29JBC","489.16","IJ61L","2022-10-19"
"ODN0B","VM6YE","487.5","4OUJ8","2022-09-15"
"MDVIU","VM6YE","486.82","GKTCF","2022-09-15"
"SPNFJ","IDZE3","486.78","EJ8AM","2022-03-25"
"HSUVT","T9ZSG","476.33","WX9FX","2022-09-04"
"3P37K","5C0M1","471.69","RLY94","2022-09-26"
"5YR3V","29JBC","462.35","LHRYU","2022-03-12"
"W1RWZ","F95B8","454.38","D7CK2","2022-04-15"
"J52AU","5FUOS","446.79","WW2NM","2022-08-12"
"NU9ZJ","29JBC","434.87","152MD","2022-10-19"
"RBHRC","PO4Q4","430.67","BL4U8","2022-07-11"
"QIFHM","8NP1J","398.6","Z6UIX","2022-03-12"
"6WPC0","T9ZSG","397.31","7ERSM","2022-09-04"
"QKWZB","T9ZSG","387.71","A34BI","2022-09-04"
"B3U4W","HJYAF","386.73","NJN0G","2022-10-19"
"TUE1V","HJYAF","361.81","LZAU3","2022-10-19"
"MQUQQ","5C0M1","351.56","078O0","2022-09-26"
"U43QW","96A1O","346.1","GV6M6","2022-03-25"
"YY363","F95B8","344.48","1VPD1","2022-04-15"
"GI3W6","HPTBM","318.92","LJNGC","2022-05-30"
"PFJZX","96A1O","302.15","Y1GW1","2022-10-24"
"E189I","OW0EP","301.28","4Z5VC","2022-03-22"
"L9DQX","HJYAF","286.52","3XOCG","2022-10-19"
"C8UMU","X4E1M","281.74","7ERSM","2022-03-12"
"Y0ROQ","VM6YE","280.84","EGA3T","2022-09-15"
"AZQPB","TIQQA","253.39","L4VJ1","2022-07-13"
"7JTSO","X4E1M","243.34","UADIT","2022-10-19"
"7D3PZ","F95B8","242.47","BJLLH","2022-09-16"
"14NRE","I1JY3","231.27","2LVZE","2022-09-28"
"ZVR5Z","5C0M1","198.15","S3AB0","2022-09-26"
"4IBZ1","8NP1J","192.32","BSJMW","2022-03-12"
"E3LEH","HPTBM","161.29","NJN0G","2022-05-30"
"Q6S50","5C0M1","158.9","PV7VX","2022-09-26"
"PAXXV","HJYAF","153.27","670AO","2022-10-19"
"Q6VOV","HPTBM","141.6","P9Q6Y","2022-05-30"
"UY5PB","HJYAF","140.75","A34BI","2022-10-04"
"UEWB2","HJYAF","135.3","CXDQI","2022-10-19"
"23ANT","PO4Q4","131.54","WW2NM","2022-07-11"
"E0MLN","I1JY3","122.8","C9XKL","2022-09-28"
"P8WKJ","5C0M1","91.28","KGD5Z","2022-09-26"
"CS91C","OW0EP","90.7","8MZDC","2022-03-22"
"QANLL","VM6YE","88.3","P0JA5","2022-09-15"
"YBPFT","QN8ZE","85.64","GPYLB","2022-03-05"
"WLJHS","T9ZSG","76.24","MQBSG","2022-09-04"
"JWTLV","HLQ7U","70.96","4Z5VC","2022-06-15"
"Y875G","VM6YE","67.25","JUDOH","2022-09-15"
"QG99D","29JBC","63.43","G6G4D","2022-10-19"
"ZE5UW","HJYAF","63.41","JCCF8","2022-10-04"
"PWHNO","I1JY3","20.8","K2VIU","2022-09-28"
"GPBCG","IDZE3","17","HH8AJ","2022-03-25"
"4ZCOP","OW0EP","10.16","L20JI","2022-03-22"
"T2RM6","X4E1M","9.25","AWXDQ","2022-10-19"
"B210B","PO4Q4","1.32","L20JI","2022-07-11"
