"itemid","adid","level"
"XDEYL","IR9AF","silver"
"9VJN4","UCFAS","gold"
"AVNN3","RM69W","other"
"QFD9M","680HF","other"
"UMYSS","LSP1S","gold"
"UZVYN","AREUU","silver"
"JV2CT","P7IQD","other"
"9S7LO","OQU85","other"
"6EZZ8","1XK7D","platinum"
"GP0RV","4YBPF","silver"
"K4R5Z","LI2AX","other"
"JYKNH","P5SRZ","other"
"7ZPZ2","DK7WM","platinum"
"EEOKB","TJL9Q","gold"
"OLHBA","0KP9I","platinum"
"69LDO","7TB3M","gold"
"TQY08","Y6YNY","other"
"TREMP","F8AFA","platinum"
"HK6D7","2R0WZ","silver"
"J4142","KPNCD","gold"
"4M3R4","P2I6S","gold"
"ZHNQD","WWXT6","silver"
"34H2Q","4MZV4","silver"
"Z4P7G","4SVWY","other"
"KHLLE","6TPM1","platinum"
"CT5PR","K6I78","other"
"NV9W6","Q1T37","gold"
"PUDUJ","MQ3EB","platinum"
"4CXFK","QANLL","silver"
"T8QOI","RABBK","silver"
"6WUM5","IF79Z","silver"
"MJXFW","PZ5XW","gold"
"RQQTP","HBLA8","silver"
"1PMBX","NYMUL","platinum"
"1MCPH","J60OA","gold"
"W6HFD","CI6F0","silver"
"HRNR4","MDVIU","silver"
"F2VXY","4VRE3","platinum"
"480VS","6Q9Z2","other"
"M4FHX","0IHHL","other"
"1RC7O","G1QRH","silver"
"PMSO2","8EACA","platinum"
"SDD2W","0Y4BU","platinum"
"4QCGX","ZODN0","gold"
"W6ST3","ZI9T0","other"
"KLT06","8D28J","platinum"
"4EPK7","KF4SR","silver"
"NUU4G","AD7EA","silver"
"YL4J5","J6IHV","gold"
"XWB18","UJVEF","silver"
"NU9ZJ","2V548","gold"
"3BGXG","2YZ84","other"
"WMG3M","OJZ6U","platinum"
"2D9NJ","JJCYH","gold"
"WSRN1","TW4ZU","other"
"SK50N","O6CYX","silver"
"6WWSZ","APE4H","silver"
"AR8E8","P8B76","gold"
"FJ37V","WCXLV","silver"
"0KRSQ","0AP4W","platinum"
"52LU9","47KYS","other"
"QSJZI","B3L2U","silver"
"AP0H1","J61ZP","silver"
"7XKOS","PNQP8","silver"
"99OKS","PVJUP","platinum"
"1ICFS","Q9L8H","other"
"HI5F4","LWPF8","other"
"6FE1E","SYR6M","silver"
"H1BUL","UBCMM","platinum"
"DBPHV","3FQ6S","other"
"NDM2R","R92T9","other"
"OAANE","4XOFF","gold"
"WHBXA","B6VGP","gold"
"0O042","GTFZI","platinum"
"7ZGCQ","KLOII","platinum"
"BEY1S","TJRNF","platinum"
"Z73MX","0LMBW","other"
"7ATM4","RFROA","platinum"
"EXQ8Z","A0IJ5","gold"
"XKZZS","OL3U2","platinum"
"YQACM","RMGW5","silver"
"FGIRP","SNS9Z","gold"
"YX8X8","HG7I3","platinum"
"XUK78","8MLEQ","other"
"58SFY","Y6DWY","other"
"8EHE2","8JCT2","other"
"S68BT","NZFG8","other"
"3SGCB","3KCMO","platinum"
"XWGLM","Y0E9N","platinum"
"B56ZO","FMG6I","platinum"
"S7N68","71ZQ4","gold"
"T30XR","NCM2N","platinum"
"N4Z05","JP34F","silver"
"5W796","SZVTF","gold"
"CIZ9R","XFOI0","platinum"
"MDWWJ","5SJ7X","platinum"
"WL502","UUEXM","platinum"
"W1URV","71YZC","platinum"
"AZI9G","SJ7M5","silver"
"21SSY","J1QNH","platinum"
"V4DM9","81LCT","other"
"VAB3D","XGG5P","gold"
"FSQ3D","F3QQ9","other"
"QVE5Q","H7K5P","gold"
"YBE2H","JJLEG","silver"
"C8LVX","3Q0CE","platinum"
"YF59W","2DWVQ","other"
"8MWF5","BSPNF","platinum"
"OH7OM","7N2UA","silver"
"WP0ER","79IV8","other"
"B6L45","TG2RP","silver"
"913R9","TFXJ2","gold"
"KRW2B","2DS61","other"
"E6QYU","7MKAR","gold"
"1FO1Y","QM54Q","other"
"S16IZ","5RLAN","silver"
"4XXY4","GB1TU","platinum"
"ANXU6","IHPW4","other"
"Q83P8","W110X","gold"
"K2HTL","92IGA","other"
"TKKOY","PZG0D","silver"
"HT3YM","TR7H9","silver"
"ZVVTC","JAFVV","other"
"5I0AY","PX3Q8","platinum"
"ZX8TZ","ZAGAG","silver"
"C3NV8","T8H6T","gold"
"WNPM6","SDPHK","other"
"PBCIG","3QK2B","other"
"3CRG2","HGTFY","platinum"
"I6OOA","YO369","silver"
"D8PUU","A0OSW","silver"
"ZRT7H","3QWRK","platinum"
"N3WOD","V9IC5","other"
"AYP1L","1B84V","gold"
"LQ4YI","S026S","gold"
"LWOJJ","FWY0Y","platinum"
"BEDDY","Z9A1S","other"
"6FE1E","1ZT49","silver"
"I53DI","KWC12","other"
"OWS7F","OVOYB","silver"
"A6GK8","5EGLC","platinum"
"HGT1F","LA711","platinum"
"TCM7S","2T8CK","other"
"UYZ5O","GH4ST","silver"
"DND5A","RV3ED","silver"
"FSIIK","3T9NY","gold"
"1BZKW","CFXAS","silver"
"MLZ88","CCJK4","gold"
"9AMVO","B9IGE","gold"
"SYZYY","HMG51","gold"
"R8ZNT","26K8G","platinum"
"58SD0","16IF6","gold"
"G9WMY","9PGYX","silver"
"L684Q","8ZTPF","platinum"
"RL0FW","XSW6X","gold"
"VAPZV","JQNIL","gold"
"085HX","4IRQI","gold"
"2C2U8","WUMG6","other"
"UIG0A","QUMHP","silver"
"AEZ0L","GRY9W","gold"
"E2KKR","OZC08","silver"
"BVXGZ","KQCRF","silver"
"DOJW6","AROLQ","silver"
"MOSFB","7HK5M","gold"
"R66RN","CQABK","silver"
"R3GNJ","ZO9MC","platinum"
"E5WMF","82VWX","gold"
"WCXLV","B0XL4","platinum"
"843F4","YAM50","other"
"ELZBH","KATLG","platinum"
"UH85O","ZQ70U","other"
"53LLM","HQUQQ","silver"
"JPAQK","6B566","platinum"
"AUR0N","0CB09","gold"
"FM2Q6","RBB5Y","silver"
"UOGGP","7294L","gold"
"KCFRG","NT1EO","gold"
"0530H","3I5U2","platinum"
"75F48","Q5V7O","gold"
"QG3B4","6QZ8G","silver"
"LW5LF","6IJEV","platinum"
"GMPPF","54E7D","platinum"
"PI8QJ","IQFTW","platinum"
"JHAMI","XCVGG","gold"
"MB43W","TXLA4","other"
"ICWTJ","NF0R5","other"
"O7OXI","YJ1N1","platinum"
"5BPXO","I3UXS","other"
"UXGSA","K3IVO","other"
"MYM9T","82ULF","silver"
"TW1LD","WHHYU","silver"
"2OSVX","AMTLK","platinum"
"HP963","PF7QG","gold"
"HDBUH","FZ35J","platinum"
"F6BXN","HJHZG","silver"
"XWJ9L","GNTZL","other"
"0ZSTH","VLZQL","platinum"
"5W2TE","FN7W3","gold"
"3QEXH","1T3DI","silver"
"EHPZB","OOEI2","other"
"OZW2H","OHUIM","platinum"
"Y681K","U5V46","silver"
"COD2Y","BLRM6","gold"
"TEFZG","LHD37","other"
"U4IAW","UVOV5","platinum"
"THJKW","B4IAF","gold"
"LB1T8","HDUTM","gold"
"EN3IG","OLXY7","silver"
"UKONE","NZCOA","other"
"RVLZQ","0JMEI","silver"
"WA65H","S2V70","other"
"WN1R6","R7T28","silver"
"CO260","VZRAN","other"
"UKF7Y","Z1IL4","platinum"
"N9JTY","KMER6","platinum"
"SQJ5E","L5H4P","other"
"11WU4","HD7CF","gold"
"U1CXQ","IJNWX","gold"
"JDLBS","5IV7N","platinum"
"S7MF0","2SGI0","gold"
"QJNLX","MILRR","silver"
"PONU9","V8GFZ","gold"
"YZX0A","V1PV1","gold"
"050LI","45TPY","gold"
"0MYC6","KF9R3","gold"
"EUDZ5","KJ9V3","gold"
"BR9EJ","3HITV","silver"
"EPY1I","52AUJ","other"
"V7WX2","TLKF0","other"
"X2NY2","8I0VI","silver"
"VR5P7","KFFPH","platinum"
"Y8XJQ","MBYVQ","silver"
"TLFZ2","27CT2","other"
"XVC1J","O4A7Z","silver"
"GY5X2","WSKLR","platinum"
"R1CW2","DRXG0","silver"
"K3HA8","HWYJT","silver"
"UGQFT","EP8EN","silver"
"MGXIN","9GKKD","other"
"695U4","N8D5E","gold"
"PFWM8","MK5M7","silver"
"CCC53","FJX8A","silver"
"1M8JK","8OTA0","silver"
"VH764","RWGTJ","silver"
"AJQOT","AZA1O","other"
"CU1WJ","SAL38","gold"
"TVSC3","ACFIZ","other"
"XPGWK","O9GBC","other"
"DOPBR","SKYBU","other"
"XSDKM","6WPC0","other"
"PDYWN","DMV3L","platinum"
"91QWU","MHSUV","silver"
"G0T0N","5KYO0","other"
"B907L","2XC7O","platinum"
"ZHIQQ","5OF8H","platinum"
"12A9L","TBUHI","platinum"
"H9AEI","QAXIC","platinum"
"016DI","R0DPR","platinum"
"ID80Q","GR5XS","gold"
"SMLMR","GWSMV","platinum"
"SJHD5","MMYH8","silver"
"JUTW1","WZB8C","other"
"K6F80","QM6TF","gold"
"K0S54","19WLJ","gold"
"6FIET","SL5SP","platinum"
"M3NXI","MW1RU","gold"
"4IOM2","I3W6I","gold"
"KYSGP","3Z4UT","other"
"FYCNQ","C0E3L","gold"
"5BIP5","ZOSG1","silver"
"OT7KI","BDZ07","silver"
"ZZEBR","PKGH8","platinum"
"07W0X","56P1J","platinum"
"9FRB4","LBVJG","silver"
"YJOSM","PG9G4","other"
"1ND3Q","FNCZQ","silver"
"POV3M","VQE2I","gold"
"6XBIN","2RVQ2","gold"
"EJL0E","UPWXW","other"
"MBIR1","Z8TZB","gold"
"1INO4","1JFID","silver"
"0BO2O","XPFO1","silver"
"TA0P2","SBE3R","other"
"FU0WT","2AKAK","gold"
"WMTTJ","DOO5Q","silver"
"H0LQB","X8U56","gold"
"DYM05","NOGIG","gold"
"WRWM4","F132Z","gold"
"P3RB8","7U7NI","silver"
"01C4U","Z7D3P","other"
"7VBRB","THUQ6","silver"
"QYEGT","GVG9M","gold"
"OEIEW","BBT3H","gold"
"MWWR4","PR6TQ","platinum"
"PDTL7","Z24TV","gold"
"9KFP9","SGVFJ","other"
"VKVKU","WROL9","other"
"V4QMZ","4GFL9","gold"
"0UA3S","XVXDY","silver"
"NL6K0","S4C86","silver"
"SDE5A","RUEWB","other"
"ZI4QR","LWSQ5","gold"
"0MEFB","PWOHD","other"
"77EMZ","YCUBA","other"
"J5I30","NL3GZ","gold"
"J0J44","IDAQ1","silver"
"I61YT","V4VQV","platinum"
"FWARA","7P27B","other"
"OB3ME","7MH9P","gold"
"LN2IP","8UJP5","other"
"R2DG2","2QLCX","silver"
"WMS35","VROZA","gold"
"10RVC","GIVKB","gold"
"K0OD4","KJFIJ","platinum"
"IRAFD","BXSWB","platinum"
"YO75C","AXXVF","silver"
"5A8BD","0MXQJ","platinum"
"RGKPY","LI6HU","gold"
"POV3M","WQ3Q2","platinum"
"Q60SI","XGUJQ","platinum"
"XMIBW","FXXRW","platinum"
"F75WN","NMK31","platinum"
"4BOKQ","XIB20","gold"
"PW5AR","YSM1A","platinum"
"Q8A48","551ZZ","gold"
"DZ0HE","KUH62","platinum"
"YNLMD","YOIQB","other"
"NHSXD","U4W6O","silver"
"OQ4HC","B5IRN","silver"
"DR9TG","S1OAO","other"
"J3EE4","Q9MIY","other"
"4FQD2","4IBZ1","silver"
"DDOZQ","JS5QZ","platinum"
"T3HDS","3ML53","gold"
"VQSIH","0M7S1","gold"
"205RS","KJNTI","platinum"
"E6QYU","KDGIQ","silver"
"9T4E4","97QG9","gold"
"GBRYR","14UOH","other"
"4CSNW","FQ8WJ","gold"
"FYOUK","YXBXV","other"
"QJZU3","HG9MN","silver"
"S994H","ZJCFC","silver"
"QDWW5","0H0NV","gold"
"S3HEZ","NA7R0","platinum"
"UG893","GXVQ6","platinum"
"X7HK5","NDGQ1","gold"
"IDQTA","GUVHS","gold"
"WYG6I","TEGZ4","platinum"
"1ZK2Z","OIPIC","gold"
"76XJN","99P1P","platinum"
"AU395","GVLSG","other"
"XMIBW","4Q4M2","platinum"
"B6AX9","ZW1QY","platinum"
"EZUQS","85HPW","silver"
"01JMW","2NZOS","silver"
"DHU5Q","C1B9B","gold"
"4SGJZ","T2VB9","other"
"13TAI","RCVCD","silver"
"EJN0A","HA7G8","gold"
"9V8II","0RGGL","gold"
"TASKW","9PO4Q","other"
"T6JD9","775EO","platinum"
"AZYSE","3EPOH","platinum"
"YU4LT","50QM9","gold"
"A6U6T","YJ5ID","silver"
"Z4YDL","430V8","platinum"
"CPPIR","T86PV","silver"
"H1SGN","61RSY","silver"
"9UGYN","NGTTM","gold"
"JL42X","8KUN0","other"
"NT1N2","PR7XZ","gold"
"VC80X","42GKH","silver"
"FWQVV","YZMBK","gold"
"0TSBW","V1YCR","other"
"T2NV6","AFCJ9","platinum"
"V450J","V1I6S","other"
"H879G","ERJMP","platinum"
"IRA4T","B2RT7","gold"
"LRPPD","KCKA7","other"
"QQJAK","UB36O","silver"
"YE8XI","D125K","platinum"
"HYNXJ","ODURF","platinum"
"JMZEX","B4WQ1","platinum"
"XUHWH","7LK1M","silver"
"IXPUB","3SR7V","silver"
"A4DVH","E28HG","platinum"
"P0A56","0N8QW","silver"
"MDQWD","A7E0H","other"
"T9X1V","EG3JY","platinum"
"SR0SZ","9CW1R","silver"
"LXW8K","28UM9","gold"
"F851Y","260I9","gold"
"2NI49","S9NQD","silver"
"NCCB8","SYICM","silver"
"8ZMCH","2SAC1","other"
"UWRHD","AKGX0","platinum"
"9VAYC","RZ6WJ","gold"
"QZ15N","CZYRV","platinum"
"2D25T","PC5PN","silver"
"SWJ4X","L2OCF","platinum"
"7TFCX","1BJST","gold"
"7B8CN","T5YHW","gold"
"6O031","XOCGW","other"
"VX215","TSGAE","other"
"NN5FM","5N59Z","other"
"5NE9G","JA73E","other"
"4PIWB","ULFV3","platinum"
"1DUJR","0DKQS","silver"
"7D3PZ","1A5E4","silver"
"UVXD3","9X4ET","platinum"
"QX44T","03W2J","other"
"VXVUM","EQNI7","silver"
"517TB","A1WT1","gold"
"ZSCBA","CCP1F","gold"
"TP7CE","4NHRB","platinum"
"C228J","DEBQJ","other"
"PGXKC","KNPO8","gold"
"WMPX7","25VJE","gold"
"PPQ4E","DDOZQ","gold"
"VG902","G9JFX","silver"
"J1HWS","M8N96","silver"
"08OCF","KLWEG","silver"
"U0IK1","ZHLD0","gold"
"5BYS4","UPBDC","gold"
"31ZNL","UHFSQ","other"
"BJH11","G1OQR","gold"
"LO7SA","8HXXR","silver"
"BG9KW","0SXRA","platinum"
"5S45K","ONE1W","gold"
"N349R","O9FS6","other"
"P5NTJ","WN3M3","gold"
"FWRER","MWUVB","other"
"K27EV","GUY1X","platinum"
"2WIBF","XYY9S","platinum"
"SI1LW","EYNLM","gold"
"FD0NP","YEG9C","silver"
"8RD4G","W30VT","silver"
"UW1T6","1K2I3","platinum"
"2NXQQ","WUHBJ","silver"
"V5JOM","NHSXD","gold"
"DH3NX","9OB34","gold"
"UJIC0","NNMWX","gold"
"LRCM7","RAVDW","platinum"
"FXE7Z","19J34","silver"
"IJPCC","BF35A","platinum"
"V349Q","GYG0I","other"
"LTQKL","TYA8C","platinum"
"LK4O5","L3L2M","gold"
"WD6W4","C645Y","silver"
"5K743","3V8GK","gold"
"IHVX1","4R1OC","gold"
"Y8CE0","UY5PB","platinum"
"4CXAF","VMJS8","platinum"
"0PAO8","GQYNE","silver"
"42JI4","J085G","silver"
"XGG4L","XZW0Q","gold"
"4TPSE","3XNFU","gold"
"6BF98","0N1P0","silver"
"VUZTI","NTENT","gold"
"JM6W9","P1USK","platinum"
"JV16S","5AI5E","gold"
"FCEQT","2RM68","platinum"
"K7EWL","SW240","platinum"
"22III","NQ015","gold"
"YJC1G","5VDU5","silver"
"2RY1O","2EF8S","silver"
"7SX7C","V3HW2","other"
"RMUBQ","Z8WAW","gold"
"76TPM","461OD","silver"
"WFSJG","8M8NH","other"
"VF5GB","DQUVD","other"
"EC82Z","J6B0Q","other"
"USL6I","8OSKP","platinum"
"9WL5O","PPRWM","silver"
"QIWDL","YMNNY","platinum"
"D5B32","TFGTN","gold"
"UKAT1","F2ST5","other"
"JU8WW","9X7GU","other"
"8C3EM","8J4Y7","silver"
"S7CSR","8JIEJ","gold"
"RGTHN","O6WY9","silver"
"HRLIG","199PG","gold"
"LK56C","V08TN","other"
"47TZC","S784X","gold"
"5N9XV","AVW3J","silver"
"GJUIE","2L5T6","platinum"
"NDFV1","7WV1W","platinum"
"Z7F7E","056F3","silver"
"B6DYH","84H9T","gold"
"WNR4H","XCLTL","silver"
"58O0H","OYV8A","silver"
"5YQ54","2N30U","other"
"HDQYO","MK4DM","gold"
"1MJRQ","HH1M7","gold"
"0LK75","KH0V6","platinum"
"RVWIF","DHHM7","gold"
"ZNGQO","9FFAL","silver"
"XC4M7","7JTSO","silver"
"H94MO","I5KVM","platinum"
"NNMV4","Z4YDL","gold"
"DU8GU","MB2Y1","other"
"7ARMD","EW51V","gold"
"YENHB","H42M2","gold"
"7PDFD","COU6R","gold"
"E76YX","XNPMU","gold"
"XFNKK","GDFOW","gold"
"WODHB","RML22","other"
"P9FRM","F69LH","silver"
"PWT57","LEQ1T","platinum"
"87TYB","GPNTQ","gold"
"IVQEB","J85QI","gold"
"3ZYZ5","M6POI","other"
"O0M6V","5GX18","platinum"
"LK95G","IIYX7","platinum"
"6DQML","NWO5D","other"
"ALSPX","3C8UM","silver"
"VYW4E","BU5E9","other"
"XUF5X","T8LOB","other"
"Z6D71","N2STS","gold"
"MEN7X","WRFAB","other"
"TEN54","DJFDQ","silver"
"CEEG6","EFOCU","silver"
"COD2Y","3B85Z","silver"
"RZBJD","BPWWU","platinum"
"I8YRO","ZDBR8","platinum"
"0LF5W","JAZQP","gold"
"YOBR6","L2JOV","silver"
"6L2BZ","6E64O","silver"
"SRWPO","XTQOT","silver"
"632TD","SRY5H","gold"
"X11HO","LNRX7","other"
"EIFCE","0N82V","gold"
"F07JE","4TGBC","gold"
"1ST10","O91U6","gold"
"W8LR5","S53DT","other"
"4B49P","4I8OD","other"
"P4ZEQ","POCSH","other"
"IWE4S","OCX33","gold"
"AYQOU","VQITC","platinum"
"EHFEV","QPF3H","other"
"3HDW5","LT6GA","platinum"
"ELKUK","8LXVO","silver"
"0YLHB","6DYQS","other"
"8JLCH","DAIO9","gold"
"7GBLS","ISLK5","gold"
"6YDWN","5T9PW","gold"
"LKCEP","OJJR7","other"
"0TXQ6","SMVNI","other"
"B1WTJ","K6O1Y","silver"
